commercial_name_en,commercial_name_ar,scientific_name,manufacturer,drug_class,route,price_egp
A.ONE SOAP 100 GM,أ.أوني سواب,,A ONE PHARM,ANTI-FUNGAL,SOAP,9.5
A.T.G FRESENIUS 20MG/ML CONC. VIAL 5 ML (CANCELLED),أ.ت.ج فريسينيوس /مل كونك,ANTI-T LYMPHOCYTE(ANTI-THYMOCYTE) IMMUNOGLOBULIN=A.T.G.,FRESENIUS KABI,IMMUNOGLOBULIN,INJECTION,1100.0
A1 CREAM 100 GM,أ1,CASTOR OIL+ZINC OXIDE+ARACHIS OIL+BEES WAX,EGPI > EGD,MOISTURIZING CREAM,TOPICAL,15.0
A1 CREAM 50 GM,أ1,CASTOR OIL+ZINC OXIDE+ARACHIS OIL+BEES WAX,EGPI > EGD,skin care.SOOTHING,TOPICAL,25.0
AAPE RENEWAL EYE CREAM 20 ML,أابي رينيوال إيي,,PROSTEMICS > NORMANDY PHARMA,EYE CONTOUR,TOPICAL,420.0
AAPE RENEWAL FACE CREAM 50 ML,أابي رينيوال فاسي,,PROSTEMICS > NORMANDY PHARMA,SKIN CARE,TOPICAL,750.0
AAPE RENEWAL FACIAL TONER 130 ML,أابي رينيوال فاسيال تونير,,PROSTEMICS > NORMANDY PHARMA,SKIN CARE,UNKNOWN,370.0
AAPE RENEWAL MASK 10 PCS,أابي رينيوال ماسك 10 بكس,,PROSTEMICS > NORMANDY PHARMA,SKIN CARE,UNKNOWN,950.0
AAPE RENEWAL SERUM 40 ML,أابي رينيوال سيروم,,PROSTEMICS > NORMANDY PHARMA,SKIN CARE,UNKNOWN,750.0
AAPE RENEWAL SUNSCREEN SPF 45 - 60 ML,أابي رينيوال سونسكرين سبف 45,,PROSTEMICS > NORMANDY PHARMA,SUN BLOCK,TOPICAL,225.0
ABASAGLAR 100 I.U./ML 5 CARTRIDGES,أباساجلار 100 إ.أو./مل 5 كارتريدجيس,INSULIN GLARGINE,ELI LILLY > AKHNATON TRADING & DISTRIBUTION,ANTI-DIABETIC.INSULIN ANALOUGE,INJECTION,645.0
ABASAGLAR KWIKPEN 100 I.U./ML 5 PENS,أباساجلار كويكبين 100 إ.أو./مل 5 بينس,INSULIN GLARGINE,ELI LILLY > AKHNATON TRADING & DISTRIBUTION,ANTI-DIABETIC.INSULIN ANALOUGE,INJECTION,725.0
ABC IMMUNE 10 SACHETS,أبك إمموني,VITAMIN C+ZINC,AUG PHARMA,IMMUNITY BOOSTER,EFF,40.0
ABC LEMON & HONEY SYRUP 320 ML,أبك ليمون & هوني,NATURAL HONEY+CITRIC ACID+LEMON JUICE CONCENTRATE,AUG PHARMA,MULTIVITAMINS,ORAL.LIQUID,168.0
ABC LEMON & HONEY SYRUP 60 ML,أبك ليمون & هوني,NATURAL HONEY+CITRIC ACID+LEMON JUICE CONCENTRATE,AUG PHARMA,MULTIVITAMINS,ORAL.LIQUID,54.0
ABC MOCOTIVE TOPICAL SPRAY 70 ML,أبك موكوتيفي,ALCOHOL 70%+TEA TREE OIL +VIT.E+CHAMOMILE +ALUMINIUM CHLORIDE HEXAHYDRATE+GLYCERIN,> EGYSTAR PHARM,ANTISEPTIC,SPRAY,30.0
ABC OMEGA 3-6-9 SYRUP 60 ML,أبك أوميجا 3-6-9,WHEAT GERM OIL,AUG PHARMA,OMEGA 3,ORAL.LIQUID,88.0
ABDOMINAL BELT,أبدومينال بيلت,,,.,UNKNOWN,170.0
ABERTO CREAM 75 GM,أبيرتو,GLYCERIN+EXT (LICORICE-GREEN-CUCUMBER)+PARAFFIN OIL+VITAMIN E&C+KOJIC ACID+TITANIUM DIOXIDE,COSMOPACK > MIRACLE,WHITENING PRODUCT,TOPICAL,49.9
ABEVAC 1MG/ML VIAL,أبيفاك /مل,BEE VENOM,VACSERA,VACCINE,INJECTION,38.0
ABEVMY 100MG/4ML CONC. VIAL FOR I.V. INF.,أبيفمي / كونك,BEVACIZUMAB,MYLAN,ANTINEOPLASTIC,INJECTION,4940.0
ABEVMY 400MG/16ML CONC. VIAL FOR I.V. INF.,أبيفمي / كونك,BEVACIZUMAB,MYLAN,ANTINEOPLASTIC,INJECTION,17081.0
ABILAXINE 10MG 5 ADULT SUPP.,أبيلاكسيني 5 أدولت سوبب,BISACODYL,GLAXO SMITHKLINE,LAXATIVE,RECTAL,4.0
ABILAXINE 5 MG 20 COATED TAB.,أبيلاكسيني 20 كواتيد,BISACODYL,GLAXO SMITHKLINE,LAXATIVE,ORAL.SOLID,4.5
ABILAXINE 5MG 5 INFANTILE SUPP.,أبيلاكسيني 5 إنفانتيلي سوبب,BISACODYL,GLAXO SMITHKLINE,LAXATIVE,RECTAL,3.2
ABILIA 15MG 30 F.C.TABS.,أبيليا,ARIPIPRAZOLE,CHEMIPHARM,PSYCHIATRIC.ANTIPSYCHOTICS,ORAL.SOLID,105.0
ABILIA 20MG 30 F.C.TABS.,أبيليا,ARIPIPRAZOLE,CHEMIPHARM,PSYCHIATRIC.ANTIPSYCHOTICS,ORAL.SOLID,120.0
ABILIFY 10 MG 10 DISCMELT ORALLY DIS.TABS. (N/A),أبيليفي 10 ديسكميلت أوراللي ديس,ARIPIPRAZOLE,BRISTOL-MYERS SQUIBB > OTSUKA,PSYCHIATRIC.ANTIPSYCHOTICS,ORAL.SOLID,190.0
ABILIFY 10 MG 10 TABS.,أبيليفي,ARIPIPRAZOLE,OTSUKA,PSYCHIATRIC.ANTIPSYCHOTICS,ORAL.SOLID,220.5
ABILIFY 15 MG 10 DISCMELT ORALLY DIS.TABS. (N/A),أبيليفي 10 ديسكميلت أوراللي ديس,ARIPIPRAZOLE,BRISTOL-MYERS SQUIBB > OTSUKA,PSYCHIATRIC.ANTIPSYCHOTICS,ORAL.SOLID,330.5
ABILIFY 15 MG 10 TABS.,أبيليفي,ARIPIPRAZOLE,OTSUKA,PSYCHIATRIC.ANTIPSYCHOTICS,ORAL.SOLID,330.5
ABILIFY 5 MG 10 TABS.,أبيليفي,ARIPIPRAZOLE,OTSUKA,PSYCHIATRIC.ANTIPSYCHOTICS,ORAL.SOLID,134.5
ABILIFY MAINTENA 300 MG I.M. PREFILLED SYRINGE,أبيليفي ماينتينا . بريفيلليد سيرينجي,ARIPIPRAZOLE,OTSUKA,PSYCHIATRIC.ANTIPSYCHOTICS,INJECTION,3090.0
ABILIFY MAINTENA 400 MG I.M. PREFILLED SYRINGE,أبيليفي ماينتينا . بريفيلليد سيرينجي,ARIPIPRAZOLE,OTSUKA,PSYCHIATRIC.ANTIPSYCHOTICS,INJECTION,4062.0
ABIMOL 150MG/5ML SYRUP 125ML,أبيمول /,PARACETAMOL(ACETAMINOPHEN),GLAXO SMITHKLINE,ANTIPYRETIC,ORAL.LIQUID,23.0
ABIMOL 300MG 5 RECTAL SUPP.,أبيمول 5 سوبب,PARACETAMOL(ACETAMINOPHEN),GLAXO SMITHKLINE,ANTIPYRETIC,RECTAL,15.0
ABIMOL 500 MG 20 TAB.,أبيمول,PARACETAMOL(ACETAMINOPHEN),GLAXO SMITHKLINE,ANTIPYRETIC,ORAL.SOLID,24.0
ABIMOL EXTRA 20 TAB.,أبيمول إكسترا,CAFFEINE+PARACETAMOL(ACETAMINOPHEN),GLAXO SMITHKLINE,ANALGESIC.ANTIPYRETIC,ORAL.SOLID,28.0
ABIONEM CREAM 60 GM,أبيونيم,HYALURONIC ACID+COLLAGEN+NIGELLA SATIVA+MENTHOL,EL-HELOU PERFUMES & COSMETICS > ALLIANCE PHARMA,MASSAGE CREAM,TOPICAL,20.95
ABITAL ORAL SPRAY 30 ML,أبيتال أورال,MELALEUCA ALTERNIFOLIA EXTRACT+THYMUS EXTRACT+MENTHA PIPERITA EXTRACT+SALVIA OFFICINALIS EXTRACT+PRO,KATO PRESTIGE COSMETICS > PHARMASERVE,ORAL CARE,SPRAY,15.0
ABIVIT-A 50.000 I.U. 20 CAPS. (CANCELLED),أبيفيت-أ 50.000 إ.أو,VITAMIN A,GLAXO SMITHKLINE,VITAMIN A,ORAL.SOLID,3.75
ABRAMMUNE 100MG/ML SYRUP(N/A YET),أبرامموني /مل,CYCLOSPORIN,AMOUN,IMMUNOSUPPRESSANT,ORAL.LIQUID,410.0
ABRAMMUNE 25 MG 10 CAPS.(N/A YET),أبرامموني,CYCLOSPORIN,AMOUN,IMMUNOSUPPRESSANT,ORAL.SOLID,24.0
ABRAMMUNE 50 MG 10 CAPS.(N/A YET),أبرامموني,CYCLOSPORIN,AMOUN,IMMUNOSUPPRESSANT,ORAL.SOLID,44.0
ABRAMMUNE 50MG/ML SYRUP(N/A YET),أبرامموني /مل,CYCLOSPORIN,AMOUN,IMMUNOSUPPRESSANT,ORAL.LIQUID,220.0
ABRAXANE 100MG VIAL SS,أبراكساني سس,PACLITAXEL PROTEIN-BOUND,CELGENE CORPORATION > EGYPTIAN PHARMACEUTICAL TRADING COMPANY,ANTINEOPLASTIC,UNKNOWN,13280.0
ABSORBABLE SELENIUM 200 MCG 100 CAPS. (ILLEGAL IMPORT),أبسوربابلي سيلينيوم,SELENIUM,PURITANS PRIDE,ANTIOXIDANT,ORAL.SOLID,31.0
ABSTAIN SR 150 MG 20TABS.(N/A YET),أبستاين سر,BUPROPION,ADWIA,PSYCHIATRIC.ANTIDEPRESSANTS,ORAL.SOLID,20.0
ABSTRAL 100MCG 10 SUBLINGUAL TABS.,أبسترال 10 سوبلينجوال,FENTANYL,KYOWA KIRIN LIMITED > EGYPTIAN PHARMACEUTICAL TRADING COMPANY,ANALGESICS.OPIOID,ORAL.SOLID,1184.0
ABSTRAL 200MCG 10 SUBLINGUAL TABS.,أبسترال 10 سوبلينجوال,FENTANYL,KYOWA KIRIN LIMITED > EGYPTIAN PHARMACEUTICAL TRADING COMPANY,ANALGESICS.OPIOID,ORAL.SOLID,1184.0
ABSTRAL 400MCG 10 SUBLINGUAL TABS.,أبسترال 10 سوبلينجوال,FENTANYL,KYOWA KIRIN LIMITED > EGYPTIAN PHARMACEUTICAL TRADING COMPANY,ANALGESICS.OPIOID,ORAL.SOLID,1184.0
ABYLATA  10 PIECES,أبيلاتا 10 بيسيس,COCOA BUTTER SUBSTITUTE+FULL CREAMY MILK+LECITHIN+COCOA POWDER+STARCH,ORGANIC PHARMA > EUREVITA FOUNDATION,CHOCOLATE-FLAVORED CANDY FORTIFIED WITH IRON  ZINC  COPPER AND VITAMINS,UNKNOWN,107.0
ACAI BERRY 60 VEG. CAPS. (NATROL),أكاي بيرري 60 فيج,ACAI EXTRACT,NATROL,ANTIOXIDANT,ORAL.SOLID,650.0
ACANTHAPROP 1MG/ML EYE DROPS 10 ML,أكانثابروب /مل إيي,PROPAMIDINE ISETHIONATE,ORCHIDIA PHARMACEUTICAL INDUSTRIES,.,EYE,80.0
ACAPRIL 20MG 20 TAB.,أكابريل,ENALAPRIL,ALFACURE PHARMACEUTICALS,ANTI-HYPERTENSIVE.ACE,ORAL.SOLID,18.0
ACAPRIL 5 MG 10 TAB.,أكابريل,ENALAPRIL,ALFACURE PHARMACEUTICALS,ANTI-HYPERTENSIVE.ACE,ORAL.SOLID,6.75
ACAVIO MASSAGE GEL 50 GM,أكافيو ماسساجي,CAMPHOR+MENTOL CRYSTALS+EUCALYPTUS+ETHANOLOMINE EXTRACT GLYCERIN,DREAMS ELHABOBA > RIXOS,MASSAGE CREAM,TOPICAL,70.0
ACC 200MG 20 SACHETS (N/A),أكك,ACETYLCYSTEINE,MINA PHARM > HEXAL AG GERMANY,MUCOLYTIC,UNKNOWN,28.0
ACC LONG 600MG 5 EFFERVESCENT TAB. (N/A),أكك لونج 5 إففيرفيسسينت,ACETYLCYSTEINE,MINA PHARM > HEXAL AG GERMANY,MUCOLYTIC,EFF,19.2
ACCELAFEN 30 F.C.TABS.,أكسيلافين,VITAMIN B1+VITAMIN B6+VITAMIN B12,> TRUE PHARMA,VITAMIN B,ORAL.SOLID,108.0
ACCENT CREAM 30 GM,أكسينت,,DELTA PHARMA > PIONEER,HEALING TOPICAL,TOPICAL,30.0
ACCENT CREAM 50 GM,أكسينت,,DELTA PHARMA > PIONEER,HEALING TOPICAL,TOPICAL,50.0
ACCOFIL 30 MIU/0.5ML 5 PREFILLED SYRINGES,أككوفيل 30 ميو/ 5 بريفيلليد سيرينجيس,FILGRASTIM,ACCORD HEALTHCARE LIMITED > UNITED GROUP UGP,GRANULOCYTE COLONY-STIMULATING FACTOR (G-CSF),INJECTION,1625.0
ACCOLATE 20MG 28 TAB.,أككولاتي,ZAFIRLUKAST,ASTRA ZENECA,LEUKOTRIENE D4 AND E4 ANTAGONIST,ORAL.SOLID,82.0
ACDISTERON 25 MG 20 F.C. TABS.,أكديستيرون,MESTEROLONE,ACDIMA INTERNATIONAL TRADING,ANDROGEN,ORAL.SOLID,229.0
ACECLOCOPA 100 MG 20 F.C. TAB.,أسيكلوكوبا,ACECLOFENAC,COPAD PHARMA,NSAID.ACETIC ACID DERIVATIVES,ORAL.SOLID,22.5
ACECZEMA CREAM 15 GM,أسيكزيما,METHYLPREDNISOLONE ACEPONATE,GLOBAL NAPI PHARMACEUTICALS,GLUCOCORTICOID,TOPICAL,49.0
ACELIOFINAZ 100 MG 20 F.C. TAB.,أسيليوفيناز,ACECLOFENAC,AUG > PEOPLE PHARMA,NSAID.ACETIC ACID DERIVATIVES,ORAL.SOLID,56.0
ACEMETACIN STADA 60MG 20 CAPS.,أسيميتاسين ستادا,ACEMETACIN,ADWIA > STADA,NSAID.ANALGESIC,ORAL.SOLID,24.0
ACENEWRAX 200 MG 10 SACHETS,أسينيوراكس,ACETYLCYSTEINE,JEDCO INT. CO. FOR PHARMACEUTICALS > ARAX PHARM. IND.,MUCOLYTIC,EFF,45.0
ACENEWRAX 600 MG 10 SACHETS,أسينيوراكس,ACETYLCYSTEINE,JEDCO INT. CO. FOR PHARMACEUTICALS > ARAX PHARM. IND.,MUCOLYTIC,EFF,44.0
ACERUMEN EAR SPRAY 40 ML,أسيرومين إار,,LABORATOIRES GILBERT - FRANCE > UNITED BIONAT,EARWAX REMOVER,EAR,69.0
ACESOLV 2% SYRUP 60ML,أسيسولف 2%,ACETYLCYSTEINE,EL-OBOUR > SPIMACO MISR,MUCOLYTIC,ORAL.LIQUID,8.0
ACETALGAN 1 GM/100ML SOL. FOR I.V. VIAL (N/A),أسيتالجان /,PARACETAMOL(ACETAMINOPHEN),DELTA GRAND PHARMA > AL ANSAR FOR MARKETING,ANTIPYRETIC,INJECTION,22.5
ACETAMEX 250 MG 20 TABS.(N/A),أسيتاميكس,ACETAZOLAMIDE,HI-PHARM,DIURETIC.CARBONIC ANHYDRASE INHIBITORS,ORAL.SOLID,6.0
ACETAMINOPHEN 125MG PAED. SUPP.U.S.P.XXIII,أسيتامينوفين بايد. سوبب.أو.س.ب.كسكسيي,PARACETAMOL(ACETAMINOPHEN),SEDICO,ANTIPYRETIC,RECTAL,3.0
ACETAPAX 14 SACHETS,أسيتاباكس,ACETYLCYSTEINE+THYME+CITAMIN C,> PAXAL PHARMACEUTICAL,MUCOLYTIC,EFF,94.5
ACETAPROFEN 100ML SUSP.,أسيتابروفين,IBUPROFEN+PARACETAMOL(ACETAMINOPHEN),KAHIRA,NSAID,ORAL.LIQUID,5.0
ACETAPROFEN 120ML SUSP.,أسيتابروفين,IBUPROFEN+PARACETAMOL(ACETAMINOPHEN),KAHIRA,NSAID,ORAL.LIQUID,6.75
ACETASEE 1% EYE DROPS (SUSP.) 5 ML,أسيتاسي 1% إيي,PREDNISOLONE,RAMEDA,GLUCOCORTICOID,EYE,7.5
ACETO-V VAGINAL WASH 250 ML,أسيتو-ف واش,CHLORHEXIDINE,HI-CARE > INTERPHARMA EGYCARE,VAGINAL CARE,VAGINAL,37.5
ACETOFLU COLD AND FLU 20 F.C. TABS.,أسيتوفلو كولد أند فلو,DIPHENHYDRAMINE+PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE,PHARMED HEALTHCARE > CHEMIDICA,COLD PRODUCTS,ORAL.SOLID,19.0
ACETOFLU COLD AND FLU SYRUP 100 ML,أسيتوفلو كولد أند فلو,DIPHENHYDRAMINE+PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE,RAMEDA > PEOPLE PHARMA,COLD PRODUCTS,ORAL.LIQUID,9.75
ACETOFUL FOR WOMEN 10 TABS.,أسيتوفول وومين,PAMABROM+PARACETAMOL(ACETAMINOPHEN),SIGMA > PEOPLE PHARMA,MENSTRUAL PAIN RELEIF,ORAL.SOLID,10.5
ACETOLYTIC 600 MG 10 CAPS.,أسيتوليتيك,ACETYLCYSTEINE,AVERROES PHARMA,MUCOLYTIC,ORAL.SOLID,71.0
ACETORPHAN CHILDREN 30MG ORAL SACHET,أسيتورفان تشيلدرين أورال,RACECADOTRIL,EPCI,ANTIDIARRHEAL,UNKNOWN,10.0
ACETORPHAN INFANT 10MG ORAL SACHETS,أسيتورفان إنفانت أورال ساتشيتس,RACECADOTRIL,EPCI,ANTIDIARRHEAL,EFF,5.0
ACETOTHYME 10 SACHETS,أسيتوثيمي,N-ACETYL L-CYSTEINE+THYME+VITAMIN C,COPAD EGYPT > ADVOCURE PHARMACEUTICALS,MUCOLYTIC SOOTHING AGENT AND ANTIOXIDANT,EFF,65.0
ACETYLAIR 300 MG 10 SACHETS,أسيتيلاير,N-ACETYLCYSTEINE+BROMELAIN EXTRACT+L-ASCORBIC ACID (VITAMIN C)+ZINC,ORGANIX > TETRACARE LIMITED,ANTIOXIDANT AND CONTRIBUTE TO NORMAL RESPIRATORY SYSTEM FUNCTION,EFF,70.0
ACETYLCISTEIN 200 MG 10 SACHET,أسيتيلسيستاين,ACETYLCYSTEINE,SEDICO,MUCOLYTIC,EFF,55.0
ACETYLCISTEIN 600 MG 10 EFF. INSTANT GRAN. SACHETS,أسيتيلسيستاين 10 إفف. إنستانت جران. ساتشيتس,ACETYLCYSTEINE,SEDICO,MUCOLYTIC,EFF,70.0
ACETYLCYSTDAR 600 MG 12 EFF. TABS.,أسيتيلسيستدار 12 إفف,ACETYLCYSTEINE,CID > PHARMADAR,MUCOLYTIC,EFF,70.0
ACETYLCYSTEINE VITA C 10 SACHETS,أسيتيلسيستايني فيتا ك,ACETYLCYSTEINE 300MG+VITAMIN C 500MG,DULEXLAB > AVANTIC,ANTI MUCOLYTIC EFFERVESCENT,EFF,95.0
ACETYLEX 10 SACHETS,أسيتيليكس,ACETYLCYSTEINE,ORCHIDIA PHARMACEUTICAL INDUSTRIES > ORCHIDIA,ANTI MUCOLYTIC EFFERVESCENT,EFF,120.0
ACETYLOVAN SYRUP 100 ML,أسيتيلوفان,N ACETYL CYSTEINE+IVY+VITAMIN C+PROPOLIS+MSM,ORGANIX FOR DIETARY SUPPLEMENTS > PHYTOMED PHARMA,COUGH PRODUCTS,ORAL.LIQUID,75.0
ACHTENON 2 MG 20 TABS.,أتشتينون,BIPERIDENE,ARAB DRUG COMPANY (ADCO),ANTIPARKINSON AGENTS. MUSCARINIC ANTAGONIST,ORAL.SOLID,51.0
ACHTENON 2 MG 30 TABS.,أتشتينون,BIPERIDENE,ARAB DRUG COMPANY (ADCO),ANTIPARKINSON AGENTS. MUSCARINIC ANTAGONIST,ORAL.SOLID,51.0
ACICLOVIR VIATRIS 250 MG 5 VIALS,أسيكلوفير فياتريس,ACYCLOVIR,REIG JOFRE > VIATRIS,ANTI-VIRAL.NUCLEOSIDE,INJECTION,530.0
ACICLOVIR VIATRIS 500 MG 5 VIALS,أسيكلوفير فياتريس,ACYCLOVIR,REIG JOFRE > VIATRIS,ANTI-VIRAL.NUCLEOSIDE,INJECTION,755.0
ACICONE 720 MG 20 CHEW. TAB.,أسيكوني 20 تشيو,MAGALDRATE,MUP,ANTACID,ORAL.SOLID,28.5
ACICONE SUSP. 120ML,أسيكوني,MAGALDRATE,MUP,ANTACID,ORAL.LIQUID,22.0
ACICONE SUSP. 200 ML (N/A),أسيكوني,MAGALDRATE,MUP,ANTACID,ORAL.LIQUID,7.5
ACICONE-S 720/25MG 20 CHEW. TAB.,أسيكوني-س 720/ 20 تشيو,MAGALDRATE+SIMETHICONE,MUP,ANTACID,ORAL.SOLID,25.0
ACICONE-S ORAL SUSP. 120ML,أسيكوني-س أورال,MAGALDRATE+SIMETHICONE,MUP,ANTACID,ORAL.LIQUID,16.5
ACICONE-S ORAL SUSP. 200ML (N/A),أسيكوني-س أورال,MAGALDRATE+SIMETHICONE,MUP,ANTACID,ORAL.LIQUID,8.0
ACIDIPAN ORAL SUSP. 180 ML,أسيديبان أورال,ALUMINIUM HYDROXIDE+MAGNESIUM HYDROXIDE+SIMETHICONE,WESTERN PHARMACEUTICALS INDUSTRIES > WESTERN PHARMA,ANTACID,ORAL.LIQUID,33.0
ACIDOPHILUS PROBIOTIC 150 TABS. (NATROL),أسيدوفيلوس بروبيوتيك,LACTOBACILLUS ACIDOPHILUS+PROBIOTICS,NATROL,IMMUNITY BOOSTER,ORAL.SOLID,750.0
ACIGLOTIR 250 MG LYOPH. PD. FOR IV INF. 5 VIALS,أسيجلوتير ليوف. بد,ACYCLOVIR,GLOBAL PHARMACEUTICAL INDUSTRIES,ANTI-VIRAL.NUCLEOSIDE,INJECTION,530.0
ACIGLOTIR 500 MG LYOPH. PD. FOR IV INF. 5 VIALS,أسيجلوتير ليوف. بد,ACYCLOVIR,GLOBAL PHARMACEUTICAL INDUSTRIES,ANTI-VIRAL.NUCLEOSIDE,INJECTION,755.0
ACIK CREAM 50 GM,أسيك,SALICYLIC ACID+LAVENDER OIL+WITCH HAZEL EXTRACT+RETINOL+LACTIC ACID+PROPOLIS EXTRACT+TEA TREE OIL+THYME OIL+PANTHENOL+VITAMIN E+SULFUR,DREAMS EL HABBOBA > NOVOGEN,SKIN CARE.ACNE,TOPICAL,85.0
ACILIGHT 150MG 30 FILM COATED TAB. (CANCELLED),أسيليغت 30 فيلم كواتيد,RANITIDINE,EL-OBOUR,PEPTIC ULCER.ANTI-HISTAMINE.H2 ANTAGONIST,ORAL.SOLID,29.25
ACILIGHT 75MG 20 COATED TAB. (CANCELLED),أسيليغت 20 كواتيد,RANITIDINE,EL-OBOUR,PEPTIC ULCER.ANTI-HISTAMINE.H2 ANTAGONIST,ORAL.SOLID,15.0
ACILOC 150MG EFF.GRANULES 5 SACHETS (CANCELLED),أسيلوك إفف,RANITIDINE,SIGMA,PEPTIC ULCER.ANTI-HISTAMINE.H2 ANTAGONIST,EFF,7.5
ACILOC 300MG 20 F.C. TABS. (CANCELLED),أسيلوك,RANITIDINE,SIGMA,PEPTIC ULCER.ANTI-HISTAMINE.H2 ANTAGONIST,ORAL.SOLID,33.84
ACILOC 75 MG 20 F.C. TABS. (CANCELLED),أسيلوك,RANITIDINE,SIGMA,PEPTIC ULCER.ANTI-HISTAMINE.H2 ANTAGONIST,ORAL.SOLID,15.0
ACITRETIN 10MG 30 CAPS.,أسيتريتين,ACITRETIN,KAHIRA > SABAA,PSORIASIS,ORAL.SOLID,87.0
ACITRETIN 25MG 30 CAPS.,أسيتريتين,ACITRETIN,KAHIRA > SABAA,PSORIASIS,ORAL.SOLID,135.0
ACIVIRAX 400MG 30 TABS.,أسيفيراكس,ACYCLOVIR,MASH PREMIERE,ANTI-VIRAL.NUCLEOSIDE,ORAL.SOLID,162.0
ACIVIRAX 800MG 20 TABS.,أسيفيراكس,ACYCLOVIR,MASH PREMIERE,ANTI-VIRAL.NUCLEOSIDE,ORAL.SOLID,154.0
ACLASTA 5MG/100ML SOLN. FOR I.V. INF. VIAL,أكلاستا /,ZOLEDRONIC ACID,SANDOZ,OSTEOPOROSIS.BISPHOSPHONATES,INJECTION,1860.0
ACLESS SOAP 100 GM,أكليسس سواب,,HI-CARE > NP PHARMACEUTICALS,ANTI-ACNE,SOAP,60.0
ACNE BENZ TOPICAL GEL 30 GM (N/A),أكني بينز,BENZOYL PEROXIDE+ERYTHROMYCIN,GLOBAL NAPI PHARMACEUTICALS,ANTI-ACNE,TOPICAL,16.2
ACNE BIOTIC PAINT 15 ML,أكني بيوتيك باينت,ERYTHROMYCIN+ZINC ACETATE,ARAB DRUG COMPANY. > APC (ARAB PERFUMES CHEMICALS AND PHARMACEUTICAL CO.),ANTI-ACNE,UNKNOWN,29.0
ACNE FREE 0.025% GEL 30 GM (N/A),أكني فري 0.025%,TRETINOIN,AMOUN,ANTI-ACNE,TOPICAL,5.9
ACNE FREE 0.05% CREAM 30 GM,أكني فري 0.05%,TRETINOIN,AMOUN,ANTI-ACNE,TOPICAL,27.0
ACNE ZINC TOPICAL SOLUTION 20 ML,أكني زينك,ERYTHROMYCIN+ZINC ACETATE,PHARCO,ANTI-ACNE,UNKNOWN,23.5
ACNE-JED 0.1% TOPICAL GEL 15 GM,أكني-جيد 0.1%,ADAPALENE,JEDCO INT. CO. FOR PHARMACEUTICALS,ANTI-ACNE,TOPICAL,16.0
